name,description,city,state
Unchained Manufacturing,"Unchained Manufacturing is a precision machining shop in Utah, rooted in grit, expertise, and a passion for innovation. Our lean team crafts high-precision components for cutting-edge projects—from aerospace missions to local industries and classified endeavors. With state-of-the-art equipment like our Doosan VCF 850LSR II, we transform complex designs into reality, mastering materials like titanium to meet the toughest standards. We’ve got a bold, unfiltered spirit, fearlessly tackling new chal",Hildale,UT
Cinch I.T.,"WHO: Cinch I.T., Inc. was established in 2004. Like so many computer support companies, we started as a one-man shop in a 10×10 office with no windows. But even then, the focus was on building great relationships with our clients. Over the years, Cinch I.T. has been fortunate enough to see unbelievable growth. We have added some of the most brilliant minds in our industry to the team, we have expanded into having multiple corporate office complexes, and we have been honored to receive numerous a",Worcester,MA
Kenai Defense,"Kenai Defense is a prime defense contractor specializing in defense innovation, technology commercialization, and testing and evaluation. The company collaborates with various industries, academic institutions, and government agencies to develop and field innovative systems that support warfighters across land, sea, and air domains. Their capabilities include autonomous system testing, electromagnetic field (EMF) technologies, carbon nanomaterial technologies, unmanned systems, and armoring tech",Woods Cross,UT
Nusano,"Nusano is a privately held physics company committed to bringing supply stability and innovation to the rapidly emerging and critically undersupplied medical radioisotopes market, and to serving industrial and commercial markets dependent on reliable access to high quality radioisotopes for their products and services. Driven by the company’s proprietary ion source, the Nusano production platform will generate radioisotopes in volumes and varieties exceeding other production methods. Nusano’s br",,
EnergiSpot,"Based in Salt Lake City, Utah, EnergiSpot | Powered by eTreego is at the forefront of the Electric Vehicle Supply Equipment (EVSE) sector. Our expertise lies in providing a range of tailor-made, innovative EV charging solutions. Our partnership with a globally renowned EVSE manufacturer, eTreego - coupled with our commitment to domestic manufacturing, Build America Buy America (BABA), exemplifies our focus on high-quality production and local industry support. EnergiSpot is more than a mere ente",Salt Lake City,UT
Quartus Engineering,"At Quartus, our multi-disciplinary team collaborates to deliver high-quality engineered solutions and products that help our clients change the world. Quartus specializes in solving the world's most complex problems that require high precision and high reliability — with key expertise in analysis & testing, custom metrology solutions, robotics & mechanisms, and precision optical systems. From aerospace to industrial metrology to consumer products, Quartus has done it all — and we’re always looki",SanDiego,CA
Hyde Park West Telecommunications,"Hyde Park West Telecommunications (HPWT) is a full-coverage, real-time communication system for remote, rural, and inaccessible locations for internet/cell phone/GPS/IoT and workforce asset Integration that provides tailored connectivity solutions for any environment or the option to choose from one of the preconfigured/portable/mobile HOO-nah™ devices, as well as a Managed Service Provider. The System can be used for vehicles, including RVs/transport trucks, oil/gas/mining/geothermal processes/",Sandy,UT
BRPH,"BRPH is a technically focused architecture, engineering and construction firm with six decades of expertise in helping mission-driven clients identify gaps in their program delivery and develop innovative solutions to their most challenging problems. Our team has designed projects for a full spectrum of industries—from multi-million-dollar launch pads to a million+ square-foot manufacturing facilities—and everything in between. Think of something so unique, so extraordinary, something never trie",Melbourne,FL
Eagle Mountain,"Eagle Mountain City is one of Utah’s newest cities but already one of its largest due to its rapid growth. This Utah County city is located in the Cedar Valley, just west of Utah Lake and is approximately 50 square miles large. Eagle Mountain City has quickly turned into a premier destination for outdoor enthusiasts, young and highly-skilled families, entrepreneurs, and many more. The city is flourishing, having grown from 250 residents in 1996 to now over 65,000 in 2024 and continuing to add ap",Eagle Mountain,UT
Cache Valley Electric,"As one of the nation’s premier electrical contractors, we don’t just provide high-quality services. We manage. We design. We install. We do it all, to maximize your time, money and resources on any given project. Cache Valley Electric is your partner on a wide range of jobs, including industrial, mission critical, enterprise, transportation, government and other special projects. Beyond electrical, we also offer technology services like teledata, audiovisual, network and cloud solutions, securit",Logan,UT
Brigham Young University,"We believe a world yearning for hope and joy needs the graduates of Brigham Young University—disciples of Jesus Christ who are driven by love for God and His children and who are prepared to serve and lead. This preparation demands a unique university model: at BYU, belief enhances inquiry, study amplifies faith, and revelation leads to rich understanding; at BYU, helping students develop their full divine potential is central to both our teaching and our scholarship. As the flagship higher educ",Provo,UT
Union Pacific,"One of America's most recognized companies, Union Pacific Railroad connects 23 states in the western two-thirds of the country by rail, providing a critical link in the global supply chain. The railroad's diversified business mix includes Agricultural Products, Automotive, Chemicals, Coal, Industrial Products and Intermodal. Union Pacific serves many of the fastest-growing U.S. population centers, operates from all major West Coast and Gulf Coast ports to eastern gateways, connects with Canada's",,
GMRE,"GMRE, Inc. is an independent, veteran-owned small business headquartered in Ogden, Utah. We have a wide range of experience supporting DoD and commercial customers with high-value engineering, management, and analytical services. GMRE is a trusted and reliable partner with our Government and industry customers, known for permanence and integrity, and focused on providing competent and cost-effective capabilities to our clients. We understand your requirement and we are uniquely qualified to exce",Ogden,UT
Palladyne AI,"Palladyne AI Corp. (NASDAQ: PDYN) is a software company focused on autonomy for robotic systems. Its advanced artificial intelligence and machine learning software seeks to revolutionize the capabilities of robots, enabling them to observe, learn, reason, and act in a manner akin to human intelligence. Our AI and ML software platform empowers robots to perceive variations or changes in the real-world environment, enabling them to autonomously maneuver and manipulate objects accurately in respons",,
Greenberg Traurig,"Greenberg Traurig, LLP has more than 2650 attorneys in 45 locations in the United States, Europe and the Middle East, Latin America, and Asia. The firm is a 2022 BTI “Highly Recommended Law Firm” for superior client service and is consistently among the top firms on the Am Law Global 100 and NLJ 250. Greenberg Traurig is Mansfield Rule 6.0 Certified Plus by The Diversity Lab. The firm is recognized for powering its U.S. offices with 100% renewable energy as certified by the Center for Resource S",Salt Lake City,UT
HyPerComp Engineering,"HyPerComp Engineering, Inc. is an industry leader in the development, testing, qualification, and production of Composite Overwrapped Pressure Vessels (COPVs). Our products are used in space launch vehicles, commercial & military drones (aerial & underwater), other hydrogen fuel-cell and electrolysis technologies, and in many other exciting applications throughout the world. We design, fabricate, and test each of our products in Brigham City, UT. Our small team (less than 20 employees) is tight-",Brigham City,UT
Implementing Ideas,"Located at 1315 W 400 S, Orem, Utah. Implementing Ideas is an electronics assembly company that has been continuously growing since its inception in 2006. Focused in prototyping and now capable of high volume, we are eager and committed to add value to your product and business by offering expeditious assembly services, high quality and competitive pricing when it comes to electronics PCBA, cable harness and box level assembly. Our personalized service will give you an unparalleled experience th",Orem,UT
Mission Support,"Mission Support Incorporated (MSI) is an AS9100 & ISO 9001:2015 Certified Manufacturer and Overhaul / Repair Facility providing depot-level overhaul services to the US Air Force Material Command, Army Aviation, the FAA, and Naval Aviation. In general, we overhaul and manufacture airframe structural components, flight controls and the associated actuation systems, aerial refueling, and landing gear. Mission Support has been engaged in the depot-level repair of aircraft subassemblies since 1990 an",Clearfield,UT
Conductive Composites,"Conductive Composites develops and delivers conductivity-based polymer and composite solutions that answer the combined demands of conductivity and shielding performance in lightweight materials systems. In essence, we make plastics and composites conduct and shield like metals, creating a whole new realm of possibilities and opportunities for plastic and composite products. We do this through the development and supply of Advanced Materials, the direct development of ready to field products usi",Cleveland,UT
Apogee Worx,"Apogee Worx, LLC is a Service Disabled Veteran Owned Small Business (SDVOSB) Engineering and Technical Services Provider. Company Founded by Experienced DoD/Aerospace Principals • DOD Career Operators and Maintainers • Significant Industry Experience as: • Prime contractors • 7th Year of Successful Operations • USAF Prime Contractor • Established/Proven Performance with Utah Manufacturing Base • Well Established Business Relationships with Prime Aerospace Suppliers • Platform Experience • A-10/F",Ogden,UT
Colliers International,"Colliers (NASDAQ, TSX: CIGI) is a leading diversified professional services and investment management company. With operations in 66 countries, our 18,000 enterprising professionals work collaboratively to provide expert real estate and investment advice to clients. For more than 28 years, our experienced leadership with significant inside ownership has delivered compound annual investment returns of approximately 20% for shareholders. With annual revenues of $4.5 billion and $99 billion of asse",Salt Lake City,UT
LSI,"Our employees are highly driven business development strategists, program managers, proposal writers and subject matter experts with a vision to change the world. Founded in 1972, our business was built on support for national defense and the economic well-being of our communities. Our boldness and best practices—refined over nearly 5 decades—have allowed us to transcend these traditional domains. LSI is focused on business development solutions that build industries, strengthen economies and cr",Layton,UT
Former Speaker of the House Brad Wilson Named 47G Board Chair,"SALT LAKE CITY (April 23, 2025) – 47G has announced Brad Wilson , will serve as board chair for the organization. Wilson will replace outgoing chair, former Congressman Chris Stewart. Stewart will continue to serve on the board as the immediate past chair. In addition, 47G announced Joe Kaiser , CEO at Mercato Partners, will also serve on the board. Both Wilson and Kaiser have played prominent roles helping to advance Utah’s aerospace and defense ecosystem throughout their distinguished careers.",,
Kori Ann Edwards Named 47G Chief Strategy Officer,"Salt Lake City, Utah (January 7, 2024) – 47G Utah Aerospace & Defense (47G) has announced Kori Ann Edwards as the Chief Strategy Officer to lead the organization’s strategic initiatives to accelerate the growth of Utah’s aerospace and defense ecosystem. She possesses over three decades of public and private-sector experience in economic development, strategic leadership, program development and stakeholder engagement. Most recently, Edwards served as the managing director of strategic initiative",,
Hire and Develop Cybersecurity Talent Through SUU’s Cybersecurity Apprenticeship Program,"The rapid growth of Utah’s workforce has led to an increasing demand for cybersecurity professionals throughout the state. There are over 400,000 open cybersecurity jobs nationwide, 5,000 of which are based in Utah . To meet surging demand, our partners at Southern Utah University (SUU) have created a new cybersecurity apprenticeship program to provide cyber workforce support to employers throughout the state. SUU established the program following a $4 million grant awarded by the US Department",,
Kirton McConkie,"Kirton McConkie is Utah’s premier full-service law firm with five locations and more than 170 award-winning attorneys who successfully represent clients in a wide variety of legal matters, including intellectual property, corporate, real estate, construction, healthcare, international, employment, litigation, tax, estate planning, and more. Kirton McConkie attorneys have represented clients in more than 150 countries and in all 50 states. Kirton McConkie is also internationally recognized as a l",Salt Lake City,UT
Dorsey & Whitney,"Clients have relied on the international law firm of Dorsey & Whitney LLP since 1912 as a trusted legal advisor and valued business partner. With locations across the United States as well as Canada, Europe and Asia, Dorsey provides an integrated, proactive approach to its clients'​ legal and business needs. Dorsey represents a number of the world's most successful companies from a wide range of industries, including leaders in the health care and life sciences industries. The Firm’s largest off",Salt Lake City,UT
Cencore,"CenCore, LLC is a full service solutions provider helping government and commercial clients overcome some of their most challenging problems worldwide. CenCore provides information, intelligence analysis, security, and personnel solutions to government agencies and commercial clients by combining uniquely tailored tools, processes and people to provide best in class support to each customer. CenCore was founded in 2010 and is headquartered in the Washington, DC Metro area with regional offices i",Springville,UT
Why Utah is Positioned to Lead the Future of American Dynamism,"As America has woken up to realities of global conflict, a rapidly advancing foreign technological landscape, and clarity on limitations in our supply chain, manufacturing speed, and reliance on aging infrastructure, there is an urgent need for the revitalization of our industrial base within the U.S. to protect and defend our national interests. Bolstered by its robust economy and talent pipeline, innovation-forward mentality, geographical position, and experienced technological skillset, Utah",including defense,AI
HHI Corporation,"HHI Corporation (HHI) was founded in 1971 as a General Contractor for the Federal Government and is incorporated in Utah. Common products produced within HHI’s Manufacturing Division are aircraft safety and maintenance stands located internationally at military installations for a diverse selection of aircraft; ground support equipment such as trailers, stairs, tow bars, and work benches; water skids; and bio-containment units. These products are made by HHI’s extensive fabrication services: bla",Ogden,UT
Precision Hermetic Technology,"Precision Hermetic Technology has been producing superior glass-to-metal seal hermetic interconnect products since 1989. Our high-quality and high-performance offerings cater to a diverse range of customers and applications. These include gyro and inertial systems, military embedded electronics, medical implantable and physiological instrumentation, radio frequency communications, military avionics, unmanned airborne and undersea drones, missile systems, commercial aircraft, accelerometers, pres",,
Cedar City & Iron County,"The Office of Economic Development is committed to countywide economic development. The mandate for this office is to provide rich business resources for the creation, growth, and recruitment of companies to Iron County and Cedar City while focusing on community strengths, resources, and environment. Since its creation in 1988, the Office of Economic Development has attracted numerous new manufacturing enterprise, retail shops, and other businesses to the area, including a variety of aerospace a",Cedar City,UT
3D Systems,"More than 30 years ago, 3D Systems brought the innovation of 3D printing to the manufacturing industry. Today, as the leading additive manufacturing solutions partner, we bring innovation, performance, and reliability to every interaction - empowering our customers to create products and business models never before possible. Thanks to our unique offering of hardware, software, materials, and services, each application-specific solution is powered by the expertise of our application engineers wh",,
US Synthetic,"US Synthetic is an innovative leader in the energy industry, delivering high performance products and superior customer service to support the business success of its customers. Since its inception, US Synthetic scientists and engineers have worked hard to perfect the company’s diamond-based products. The company has expanded its innovative technology into a number of new markets—producing a broad range of applications in oil and gas exploration, diamond bearings, coal mining applications, wire",Orem,UT
University of Utah,"The University of Utah is the state’s flagship institution of higher education, with 18 schools and colleges, more than 100 undergraduate and 90 graduate degree programs, and an enrollment of more than 35,000 students. It is a member of the Association of American Universities—an invitation-only, prestigious group of 71 leading research institutions. Recently ranked #1 public university in the West by The Wall Street Journal, the U strives to be a model public university in delivering unmatched",Salt Lake City,UT
Layton City,"At the center of northern Utah and adjacent to Hill Air Force Base, Layton City employers are pushing the boundaries in technology and innovation within our robust and ever growing aerospace and defense, space technology, high tech manufacturing, cybersecurity, and UAS industries. Our dedication to technology and innovation is evidenced by our support of Hill AFB, our partnerships with and support of our employers in these industries, and our preparation to become one of the first Utah sites to",Layton,UT
Draper Labs,"As a nonprofit engineering innovation company, Draper serves our nation’s interests and security needs; advances technologies at the intersection of government, academia, and industry; cultivates the next generation of innovators; and solves the most complex challenges. Multidisciplinary teams drawn from a broad and deep talent pool of 1,200 engineers and scientists collaborate to develop first-of-a-kind solutions. Our unbiased approach enables us to focus on our customers’ needs and to deliver",,
47G Announces New Institute Director,"47G is excited to announce the appointment of James Taylor , as the Executive Director of the 47G institute! James has managed multiple industry initiatives throughout his career LSI and has secured billions of dollars of federal grant funding for his clients. “James Taylor’s extensive industry experience and expertise make him a perfect fit to lead the Institute during this pivotal period of growth and change,” said Aaron Starks, President and CEO of 47G. “I have known James for many years and",,
Paramount Machine,"Paramount Machine is a professional and precise machining company that provides a wide range of manufacturing services. With years of precision machining experience, Paramount Machine opened its doors in 1995. Since then we have grown and relocated Paramount Machine four times. Our last move in October of 2010 brought us to our current location where we have 25,800 square feet of manufacturing area, 1,300 square feet of inspection space and 3,000 square feet of office space. We employ more than",,
BLG Vantage,"BLGVantage specializes in the measurement of strain and stress at the microscopic level, opening doors to materials characterization previously either difficult to attain or even unattainable. Our work is based around the technique of High Resolution EBSD with over 30 years of pioneering experience in the field. CrossCourt is our flagship software product with customers across a broad spectrum of businesses and organizations including Pratt and Whitney, Rolls Royce Aero Engines, NIST, NASA, EDF",Salt Lake City,UT
309th SWEG,"A group of talented people, innovators, engineers, computer scientists, IT, and cybersecurity professionals. A DevSecOps software engineering culture leading the way in software development (Dev), security (Sec) and operations (Ops). The 309th Software Engineering group at Hill AFB is recognized as a world leader in “cradle-to-grave” support systems. They encompass hardware engineering, software engineering, cybersecurity, cloud security, program management, consulting, data management, and muc",Clearfield,UT
American Pacific,"American Pacific is a leading custom manufacturer of highly technical materials through proprietary processes within our focused markets. We supply the aerospace and defense industry specialty chemicals used in solid rocket motors for space launch and military missiles. We also produce clean agent chemicals for the fire protection industry, and sodium azide for pharmaceutical and other industries. Our products are designed to meet customer specifications and often must meet certain governmental",Cedar City,UT
Utah could expand drones and air taxis for the ‘34 Olympics,"In 2002, millions of people descended on Utah for the XIX Olympic Winter Games. It was a big opportunity for a state with only 2.2 million people — one that state leaders took seriously. Utah’s transportation agencies successfully implemented a comprehensive plan across the Wasatch Front that seamlessly transported athletes and spectators to Olympic events. The agencies leveraged historic federal, state and local investments to widen I-15 through Salt Lake County and expand service for TRAX and",,
Utah Aerospace and Defense Signs Historic Agreement with Ukrainian Government,"Today, the Utah Aerospace and Defense Association announced the signing of a Memorandum of Understanding (MOU) with the Ministry for Strategic Industries of Ukraine. Signed by Aaron Starks, President and Chief Executive Officer of Utah Aerospace and Defense, and Oleksandr Kamyshin, Minister for Strategic Industries of Ukraine, in Washington, D.C., the agreement represents a significant step forward in fostering collaboration between Ukraine and Utah’s aerospace, defense, and security companies.",,
Bank of America,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading.",,
Utah’s Cutting-Edge Technologies Support the Future of Mobility,"New Yorkers recently stood at a downtown Manhattan heliport to watch a pilot take off vertically in an air taxi powered by electric batteries. Buoyed up by six small propellers, the air taxi quietly circled over the East River before returning safely to the heliport. New York City isn’t the only municipality taking a serious look at urban air mobility. This summer the International Olympic Committee is hoping to move some passengers around Paris via air taxi during the 2024 Olympics.",,
Unlocking Federal Funding: An Intro to SBIR and STTR,"Some of our greatest technological breakthroughs have come out of defense contracts. From jet engines to plasma transfusions, small private-sector companies have a rich history of developing pivotal new technologies. Often developed initially for government use, many have ultimately revolutionized both the military and civilian markets. This synergistic relationship is fundamental to the Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs.",,
Utah Department of Veterans and Military Affairs,"Some of our greatest technological breakthroughs have come out of defense contracts. From jet engines to plasma transfusions, small private-sector companies have a rich history of developing pivotal new technologies. Often developed initially for government use, many have ultimately revolutionized both the military and civilian markets. This synergistic relationship is fundamental to the Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs.",,
IMSAR,"Our nation is founded on the principle that all men are created equal and are endowed with the unalienable rights of life, liberty, and the pursuit of happiness. Here at IMSAR we are committed to safeguard, protect, and reinforce these values by being a world leader in miniature Synthetic Aperture Radar (SAR) technology and providing our customers with high performing radar solutions that are smaller, lighter, require less power, and are more affordable than typical radar systems.",Springville,UT
OxEon Energy,"OxEon provides technical solutions for the toughest problems facing us both on Earth and far beyond. OxEon employees are empowered and flexible, developing technologies that provide answers for reducing fossil fuel dependence, destroying dangerous chemicals, and providing oxygen, rocket fuel and power for astronauts on the Moon and Mars. We promote a culture of responsible stewardship and intelligent foresight, using our talents and vision to change the world and solar system.",North Salt Lake,UT
CICNDT,"We specialize in providing Worldwide NDT Solutions, expert consultation, and comprehensive inspections tailored to the needs of the aerospace, space industry, and renewable energy sectors. Our commitment to innovation, quality, and safety ensures that our clients receive unparalleled service in preserving the integrity and performance of composite materials. Discover how our global non-destructive testing services can support your projects with precision and expertise.",,
BreakLine Education,"BreakLine collaborates with industry partners to provide talented veterans, women, people of color, and people with disabilities the skills necessary to transition into new careers. Our immersive programs combine in-depth discussions with industry leaders and a business education sprint taught by distinguished faculty. BreakLine participants find employment commensurate with their experience and potential, and our partners access a new pipeline of exceptional talent.",,
Rio Tinto,"We operate in 35 countries where our 60,000 employees are working to find better ways to provide the materials the world needs. Our portfolio includes iron ore, copper, aluminium and a range of other minerals and materials needed for people, communities and nations to grow and prosper, and for the world to cut carbon emissions to net zero. We continuously for new projects that can support the energy transition, currently exploring for 8 commodities in 17 countries.",South Jordan,UT
Apex Consulting,"QMS MANAGEMENT SYSTEMS PROFESSIONALS At APEX consulting, we know that simply obtaining certifications and conducting audits won’t give you the competitive advantage. You need a partner who helps pinpoint areas to improve and works with you to enhance your capabilities. At APEX Consulting, we have decades of experience working with organizations, like yours, helping them implement necessary changes that improve their business’ quality management systems performance.",,
Guardian Construction,"Guardian has amassed extensive experience and specializes in Federal Contracting as a Design-Build/General Contractor. Guardian is known for providing simple and comprehensive solutions to difficult and complex construction problems and has a proven track record of delivering projects on time, within budget, and exceeding client expectations, without sacrificing safety and quality. With a strong history of completing projects in critical and occupied environments.",Layton,UT
Prime Machine,"Prime Machine, Inc. was created in 1979 to provide emergency Industrial Equipment Repair and New Component Fabrication Services to a wide range of Customers statewide and beyond. We currently provide Large and Small Machine Shop Services, Welding Fabrication, Millwright Field Services, Gearbox Repair, and State-of-the-Art Laser Inspection Services. Our major Customers are found in Mining, Power Generation, Aerospace & Defense, and other critical Industries.",Salt Lake City,UT
Utah Symphony | Utah Opera,"Founded in 1940, the Utah Symphony has become an eminent presence in the American music scene through its distinctive performances worldwide and its well-known recording legacy. The orchestra became recognized as a leading ensemble largely through the efforts of Maurice Abravanel, its Music Director from 1947 to 1979. With its many subscription, education and outreach concerts and tours, the Utah Symphony is one of the most engaged orchestras in the nation.",Salt Lake City,UT
Zipline,"Zipline was founded to create the first logistics system that serves all humans equally. Our aim is to solve the world’s most urgent and complex access challenges. Leveraging expertise in robotics and autonomy, Zipline designs, manufactures and operates the world’s largest automated delivery system. Zipline serves tens of millions of people around the world and is making good on the promise of building an equitable and more resilient global supply chain.",South Jordan,UT
Hummingbird Aero,"Hummingbird Aero LLC is a premier global engineering consulting and services provider focused in aircraft flight controls, actuation, hydraulic systems, avionics and software. In addition to a broad array of global engineering services, Hummingbird's staff of leading, industry-recognized experts bring the best experience available to solving the most difficult technical and organizational problems in aerospace development, certification and sustainment.",,
Utah Aerospace & Defense Official Statement Regarding Attacks Against Israel,"“Our thoughts and prayers are with the people of Israel who have tragically lost loved ones as a result of the recent attacks by Hamas,” said former United States Congressman and Utah Aerospace and Defense Chair Chris Stewart. “As advocates for peace and resilience we vehemently condemn the assault as a blatant disregard for civilian lives in the region. Such acts of violence undermine the principles of peace and cooperation that we strive to uphold.”",,
PHM Technology,"At PHM Technology, our mission is to revolutionize how organizations manage the reliability, availability, maintainability, and safety (RAMS) of complex, mission-critical systems. We specialize in model-based engineering solutions, with our flagship platform—the Maintenance Aware Design Ecosystem (MADE)—enabling the creation of Digital Risk Twins that seamlessly identify, analyze, and mitigate technical risks throughout the system lifecycle.",Lehi,UT
Mercato Partners,"For over 15 years we have had the privilege of partnering with visionary entrepreneurs and teams as they build transformational companies. While much has changed since we opened our doors in 2007, our commitment to fund the extraordinary has not wavered. We are more energized than ever to seek out the next generation of great American companies that will disrupt their industries and forever change how we learn, work and live—for the better.",Salt Lake City,UT
"Apply Now for a Career in Aerospace, Defense, or Cyber","47G has partnered with DWS to launch a jobs platform that will serve as a bridge to connect students and job seekers with existing opportunities in the aerospace, defense, and cybersecurity sectors. The partnership will streamline the job process by helping both talent and employers find each other with greater speed and efficiency. The platform is designed to support economic opportunity and foster innovation in Utah’s critical industries.",,
Prominent Utah Business Leaders Join 47G Board of Directors,"SALT LAKE CITY (July 8, 2024) – 47G Utah Aerospace & Defense announced today that Amanda Covington , chief corporate affairs officer for the Larry H. Miller Company and Nate Walkingshaw , founder and chief executive officer for Torus have joined the organization’s board of directors. Both Covington and Walkingshaw have played prominent roles helping to advance Utah’s aerospace and defense ecosystem throughout their distinguished careers.",,
"Highland Point, Inc","HPI is a women-owned small business specializing in accredited composite materials testing. Our A2LA ISO 17025 accreditation , Certificate number 5742.01 has a comprehensive scope of standard tests, both ASTM and ISO varieties that are used to determine specific design properties of any composite material. Our expert staff can assist clients with test program design, will fully execute the test matrix and assist with data interpretation.",,
47G Announces Partnership that will Revolutionize Aerospace & Defense Industry,"The Utah Aerospace and Defense Association has unveiled a new vision for the state as it seeks to build the world’s premier ecosystem for aerospace, defense, and cyber companies. The organization has launched its new brand “47G” and announced a game-changing partnership with the University of Utah for generational investments in artificial intelligence and semiconductor technologies that have the potential to revolutionize the industry.",,
Fortem Technologies,"Fortem Technologies is the leader in airspace awareness, security, and defense for detecting and defeating dangerous drones. Through an advanced, end to end system of distributed radar, AI at the Edge, deep sensor integration, and autonomous drone capture, Fortem monitors and defends the world’s venues, infrastructures, cities, and regions. The same system is accelerating the safety of the world’s airspace for urban air mobility.",Pleasant Grove,UT
Odys Aviation,"Odys Aviation designs, develops and manufactures sustainable, technologically advanced VTOL aircraft that solve global challenges for commercial airlines and private operators. The company is pioneering the next generation of VTOL aircraft which use hybrid-electric propulsion systems to deliver the optimal balance between performance and sustainability. Odys Aviation was founded in 2019 and is based in Long Beach, CA.",and is based in Long Beach,CA
Bridgerland Technical College,"The mission of the Bridgerland Technical College is to deliver competency-based, employer-guided career and technical education to both secondary and post-secondary students through traditional and technology-enhanced methodologies. This hands-on technical education provides occupational education, skills training, and workforce development to support the educational and economic development of the Bear River Region.",Logan,UT
GoEngineer,"GoEngineer delivers software, technology and expertise that enable companies to unlock design innovation and deliver better products faster. With more than 30 years experience and thousands of customers in high tech, medical, machine design, energy and other industries, GoEngineer provides best-in-class design solutions from SOLIDWORKS, Stratasys, VELO3D, CAMWorks, and PLM. For more information, visit goengineer.com",Salt Lake City,UT
ISSE Services,"Founded in 2007, ISSE Services is a Woman-Owned Small Business (WOSB) that provides tailored cybersecurity services to the Department of Defense and Defense Industrial Base. Backed by a multidisciplinary team of professionals from industries such as healthcare, aviation, engineering, law, and information security, ISSE Services delivers high-impact solutions designed to protect mission-critical systems and data.",Clearfield,UT
